"Bolagsnamn";"Info";"Info";"Info";"Info";"Info";"Info";"Info";"Kursutveck.";"Direktav.";"P/E";"P/S";"P/B";"Omsättning";"Bruttoresult.";"EBIT";"EBITDA";"Vinst";"FCF";"Antal Aktier";"Tot. Skulder";"Kassa";"Kortf. Skuld."
"";"Land";"Lista";"Sektor";"Bransch";"Ticker";"Instrument";"Rapport";"Utveck.  1 år";"Senaste";"Senaste";"Senaste";"Senaste";"Miljoner";"Miljoner";"Miljoner";"Miljoner";"Miljoner";"Miljoner";"Senaste";"Miljoner";"Miljoner";"Miljoner"
"Data Respons";"Norge";"OB Match";"Informationsteknik";"Elektronisk utrustning";"DAT";"Aktier";"Q2-2018";0.01498126;0.03690037;34.87774;1.080256;3.952814;1346.2;690.9;100.9;119.2;41.7;-127.5;53.662;753.4;44;395.6
"Dedicare";"Sverige";"Small Cap";"Industri";"Bemanning";"DEDI";"Aktier";"Q2-2018";-0.5498127;0.08319467;12.92668;0.6929906;6.291393;785.3;298.4;55;56;42.1;26.1;9.055;117.7;30.9;106
"Deere & Co";"USA";"NYSE & Nasdaq
";"Industri";"Produktion";"DE";"Aktier";"Q3-2017";0.1367037;0.01662626;23.79343;1.629583;5.366684;28239.6;9349.5;2821.6;4502;1934.1;2053.9;318.8;53775;6963.5;21477.1
"Deflamo";"Sverige";"First North";"Industri";"Produktion";"DEFL B";"Aktier";"Q1-2018";-0.8235294;"";-0.347544;2.102729;1.314147;2.803;0.446;-16.217;-7.752;-16.96;-9.097;39.293;4.44;0.508;1.94
"Detection";"Finland";"First North";"Informationsteknik";"Elektronisk utrustning";"DETEC";"Aktier";"Q4-2017";0.07302115;0.01818182;17.66055;3.001537;6.426067;89.146;45.12;19.892;22.118;15.152;16.792;13.9;20.733;26.5;20.733
"DevPort";"Sverige";"First North";"Informationsteknik";"IT-Tjänster";"DEVP B";"Aktier";"Q1-2018";"";"";19.21214;1.333697;6.301745;255.652;175.181;23.563;23.705;18.009;-5.742;4.913;57.47;5.072;55.579
"DexTech Medical";"Sverige";"Aktietorget";"Hälsovård";"Läkemedel";"DEX";"Aktier";"Q3-2018";0.7028986;"";-80.82545;75.27041;30.937;9.212;"";-8.58;-8.58;-8.58;-9.948;14.753;0.556;5.189;0.556
"DFDS";"Denmark";"Large Cap";"Industri";"Tjänster & Leverans";"DFDS";"Aktier";"Q1-2018";0.1128768;0.02708026;13.39485;1.520616;3.494086;14592.7;6832.9;1747.3;2697.2;1656.6;969.6;54.628;6765.1;591.1;3074.6
"Diadrom";"Sverige";"First North";"Informationsteknik";"IT-Tjänster";"DIAH";"Aktier";"Q1-2018";-0.1774194;0.07058824;14.27132;1.518001;7.964102;61.163;47.346;8.479;8.802;6.506;2.925;7.282;9.501;1.196;9.501
"Diamyd Medical";"Sverige";"First North";"Hälsovård";"Bioteknik";"DMYD B";"Aktier";"Q3-2018";0.4098362;"";-6.205801;221.6211;4.473763;1.093;-23.228;-38.899;-38.776;-39.034;-64.612;56.333;10.624;52.813;8.739
"Dicot";"Sverige";"Aktietorget";"Hälsovård";"Läkemedel";"DICOT";"Aktier";"Q1-2018";"";"";-40.96562;"";15.21591;"";-0.826;-1.07;-0.827;-1.065;-2.806;7.79;1.653;1.899;0.053
"Digia";"Finland";"Small Cap";"Informationsteknik";"IT-Tjänster";"DIGIA";"Aktier";"Q4-2017";-0.06761568;0.01526718;56.58747;0.5631299;1.239409;97.127;84.428;1.846;3.515;0.968;-3.811;20.876;42.48;11.523;28.578
"Digitalist Group";"Finland";"Small Cap";"Informationsteknik";"IT-Tjänster";"DIGIGR";"Aktier";"Q1-2018";-0.4118644;"";-4.56579;1.818652;14.75447;21.134;"";-6.522;-5.35;-8.436;-5.112;553.824;20.917;0.607;15.098
"Dignitana";"Sverige";"First North";"Hälsovård";"Läkemedel";"DIGN";"Aktier";"Q1-2018";-0.8621795;"";-2.006907;3.799773;2.070348;22.943;20.378;-63.403;-56.081;-43.442;-48.486;40.548;16.114;22.185;11.09
"DistIT";"Sverige";"First North";"Industri";"Handel & Distribution";"DIST";"Aktier";"Q1-2018";-0.4245902;0.04985755;13.59938;0.2324731;1.24703;1854.4;"";53.3;64.8;31.7;14.6;12.282;608.4;74.9;508.2
"DLH";"Denmark";"Small Cap";"Material";"Skog";"DLH";"Aktier";"Q4-2017";-0.3168317;"";30.73497;0.2351418;1.154701;313.3;41.4;0.8;0.9;2.4;3;53.384;25.1;8.4;25.1
"DNA";"Finland";"Large Cap";"Telekommunikation";"Telekommunikationstjänster";"DNA";"Aktier";"Q1-2018";0.2247422;0.0617284;24.47802;2.622029;4.493395;899.173;504.885;129.89;276.494;96.324;89.535;132.304;866.007;161.868;484.133
"DNO";"Norge";"OBX";"Energi";"Olja & Gas";"DNO";"Aktier";"Q1-2018";0.8563636;"";3.960742;4.762304;2.173499;3290.743;1318.981;4112.869;5297.812;3956.715;1421.982;1023.279;4619.784;4167.936;1226.904
"DOF";"Norge";"OB Match";"Industri";"Tjänster & Leverans";"DOF";"Aktier";"Q1-2018";-0.08333331;"";-1.110294;0.1722433;0.1674837;7284;2222;-100;2289;-1130;-257;162.9377;19340;1430;3171
"Dome Energy";"Sverige";"First North";"Energi";"Olja & Gas";"DOME";"Aktier";"Q4-2017";0.3052009;"";0.7495269;1.208764;0.911823;84.19;39.727;160.378;314.945;135.776;-69.796;3.6865;402.492;5.17;353.14
"Dometic";"Sverige";"Large Cap";"Sällanköpsvaror";"Konsument";"DOM";"Aktier";"Q2-2018";0.2200577;0.02424601;14.46511;1.529283;1.580504;16354;5184;2397;2813;1729;-5497;295.8;18102;1089;4736
"Doro";"Sverige";"Small Cap";"Informationsteknik";"Elektronisk utrustning";"DORO";"Aktier";"Q2-2018";-0.1635992;"";12.54524;0.5207284;1.514;1869.5;"";106.6;173.7;77.6;-31.5;23.802;728.5;90.7;443.8
"Double Bond Pharma";"Sverige";"Aktietorget";"Hälsovård";"Läkemedel";"DBP B";"Aktier";"Q1-2018";-0.426;"";-5.173968;133.2918;-73.25304;0.51;-3.656;-13.14;-12.999;-13.14;"";23.686;5.624;2.898;2.984
"Dovre";"Finland";"Small Cap";"Industri";"Tjänster & Leverans";"DOV1V";"Aktier";"Q4-2017";-0.1075269;0.04016064;-46.11111;0.3970952;1.101301;62.748;6.373;0.052;0.536;-0.547;-1.228;100.068;13.764;5.151;11.926
"Doxa";"Sverige";"First North";"Hälsovård";"Sjukvård";"DOXA";"Aktier";"Q1-2018";-0.1227273;"";-10.47774;6.701056;12.4008;16.1;13;-9.2;-8.3;-10.3;-10.3;55.9;9.5;7.9;5
"Dr Sannas";"Sverige";"NGM";"Dagligvaror";"Konsumentprodukter";"SANNA MTF B";"Aktier";"Q1-2018";"";"";-3.341998;2.52579;4.014693;5.409;2.288;-3.988;-3.929;-4.088;-4.117;1.518;3.155;4.627;1.502
"Drillcon";"Sverige";"First North";"Material";"Gruv & Metall";"DRIL";"Aktier";"Q1-2018";0.02857145;0.06111111;9.935602;0.6836957;1.718751;352.262;308.243;29.492;53.489;24.243;-7.544;44.6;159.142;48.867;105.399
"DS Norden";"Denmark";"Mid Cap";"Industri";"Tjänster & Leverans";"DNORD";"Aktier";"Q1-2018";-0.1180125;"";18.27277;0.3893083;0.9100905;12313.94;799.8857;260.8304;525.7372;262.3572;-388.5432;42.2;2859.44;1259.22;1638.04
"DSV";"Denmark";"Large Cap";"Industri";"Tjänster & Leverans";"DSV";"Aktier";"Q1-2018";0.2210876;0.003889537;31.02693;1.274422;6.616102;75058;16505;4905;5691;3083;4060;186.028;24064;1558;15636
"Duni";"Sverige";"Mid Cap";"Sällanköpsvaror";"Konsument";"DUNI";"Aktier";"Q2-2018";-0.06386553;0.0448833;16.25993;1.135232;2.099314;4612;1285;441;623;322;203;46.999;2508;177;1055
"Duroc";"Sverige";"Small Cap";"Industri";"Produktion";"DURC B";"Aktier";"Q3-2018";-0.2201835;"";6.825847;0.4244739;1.24018;2342.9;840.6;110;147.4;145.7;-144.2;39;790.7;212.6;565.8
"Dustin Group";"Sverige";"Mid Cap";"Dagligvaror";"Konsumentprodukter";"DUST";"Aktier";"Q3-2018";0.3531599;0.03076923;24.4854;0.690502;4.424705;10038.7;1544;410.2;470.4;283.1;277.2;76.173;3682.7;407.9;2010.9
"EAM Solar";"Norge";"Oslo Axess";"Kraftförsörjning";"Energiproducenter";"EAM";"Aktier";"Q1-2018";-0.2555831;"";-2.757175;5.537835;1.691006;37.1192;29.8816;-64.9212;-46.949;-74.5546;-7.758;6.852;157.9843;13.7468;43.811
"EasyFill";"Sverige";"Aktietorget";"Industri";"Handel & Distribution";"EASY B";"Aktier";"Q1-2018";-0.2781955;"";-26.20087;5.232464;5.347262;67.028;25.142;-13.922;-7.442;-13.391;"";73.067;35.532;5.072;27.279
"EatGood";"Sverige";"Aktietorget";"Sällanköpsvaror";"Hotell, restaurang & nöje";"EATG";"Aktier";"Q1-2018";-0.02515728;"";-3.307372;13.62765;5.868416;1.707;-6.555;-6.792;-6.555;-6.925;"";7.504;4.334;0.05;2.431
"Ecoclime Comfort Ceilings";"Sverige";"Aktietorget";"Industri";"Byggprodukter";"ECC";"Aktier";"Q4-2017";3.28246;"";48.32905;8.28377;4.787827;39.807;21.138;8.857;9.967;6.824;-6.001;17.54;25.984;17.104;15.416
"ECOMB";"Sverige";"Aktietorget";"Industri";"Byggprodukter";"ECOM";"Aktier";"Q4-2017";-0.7102702;"";-0.8065001;0.6480101;-6.558857;4.747;2.044;-3.921;-3.892;-3.815;-6.189;11.478;2.758;0.251;2.758
"EcoRub";"Sverige";"Aktietorget";"Industri";"Produktion";"ECO B";"Aktier";"Q4-2017";0.2623377;"";-41.53846;5.737457;12.06295;4.39;3.821;-0.38;-0.261;-0.61;-2.334;51.826;4.617;0.733;4.617
"Edgeware";"Sverige";"Small Cap";"Informationsteknik";"Kommunikation";"EDGE";"Aktier";"Q1-2018";-0.5875647;"";-39.85979;2.209167;2.038724;216.5;156.2;-12.7;-0.3;-12;-93.6;30.043;55.8;175.1;55.8
"Efecte";"Finland";"First North";"Informationsteknik";"IT-Tjänster";"EFECTE";"Aktier";"Q4-2017";"";"";-40.34166;3.195229;6.041567;10.615;9.572;-0.11;0.304;-0.841;-2.712;5.524;3.729;3.098;3.729
"Effnetplattformen Dividend";"Sverige";"First North";"Informationsteknik";"Elektronisk utrustning";"EFFP";"Aktier";"Q1-2018";-0.56875;"";-5.737568;6.218807;2.034258;10.028;7.134;2.499;2.499;-10.87;-0.421;9.038;2.846;27.182;1.828
"Efore";"Finland";"Small Cap";"Industri";"Tjänster & Leverans";"EFO1V";"Aktier";"Q4-2017";-0.5606061;"";-27.1028;0.2297426;2.310554;70.4;22.4;-0.2;3.6;-0.6;-0.5;55.772;32.3;4.5;29.6
"Egetaepper";"Denmark";"Small Cap";"Industri";"Produktion";"EGE B";"Aktier";"Q4-2018";-0.1707317;0.02731092;14.67931;0.5387732;1.232198;1157.37;440.067;78.536;121.862;42.479;-5.775;2.62;507.297;13.973;367.71
"Eidesvik Offshore";"Norge";"OB Match";"Industri";"Tjänster & Leverans";"EIOF";"Aktier";"Q1-2018";0.2062616;"";-5.689221;0.3254721;0.1222203;606.757;238.411;10.797;368.505;-34.714;141.852;30.15;2559.987;565.795;187.012
"Ekornes";"Norge";"OB Match";"Sällanköpsvaror";"Konsument";"EKO";"Aktier";"Q2-2018";0.1744681;0.1811594;17.09974;1.619241;4.809756;3138.5;2300.4;435;552.7;297.2;249.5;36.826;1250.1;108.7;742.4
"Elanders";"Sverige";"Mid Cap";"Sällanköpsvaror";"Media";"ELAN B";"Aktier";"Q2-2018";-0.2509804;0.03403141;20.62134;0.2708393;1.057694;9974;1277;293;557;131;-96;35.358;5296;596;2510
"Elecster";"Finland";"Small Cap";"Industri";"Tjänster & Leverans";"ELEAV";"Aktier";"Q1-2018";-0.2682927;0.03047619;17.05376;0.9758964;1.595799;40.326;19.64;3.373;5.416;2.308;1.58;3.748;23.98;6.745;11.881
"Electra Gruppen";"Sverige";"Small Cap";"Sällanköpsvaror";"Återförsäljare";"ELEC";"Aktier";"Q1-2018";-0.127572;0.08018868;11.58217;0.1551314;1.329089;1776.9;200.8;28.8;31.6;23.8;45.6;5.201;274.2;28.3;254.2
"Electrolux B";"Sverige";"Large Cap";"Sällanköpsvaror";"Konsument";"ELUX B";"Aktier";"Q2-2018";-0.27642;0.0394862;13.65849;0.4995409;3.008989;120934;23585;5520;9565;4423;1415;287.4;72062;9323;55309
"Electromagnetic Geoservices";"Norge";"OB Match";"Energi";"Olja & Gas";"EMGS";"Aktier";"Q1-2018";0.2601625;"";-1.531696;0.9823955;2.449274;288.5058;187.4298;-150.0124;-18.0991;-185.0414;-111.4436;91.428;626.5798;95.0866;198.7545
"Elekta";"Sverige";"Large Cap";"Hälsovård";"Sjukvård";"EKTA B";"Aktier";"Q4-2018";0.4370901;0.01161826;42.0564;4.07835;5.795604;11333;4748;1538;2062;1099;1447;383.568;14482;4458;9199
"Element";"Norge";"OB Match";"Material";"Gruv & Metall";"ELE";"Aktier";"Q1-2018";0.7518249;"";-4.588033;"";2.354489;"";-0.3731;-22.4771;-22.4611;-34.3425;-26.5288;65.64;37.9728;31.3158;16.4578
"Elisa";"Finland";"Large Cap";"Telekommunikation";"Telekommunikationstjänster";"ELISA";"Aktier";"Q2-2018";0.006837655;0.04668931;18.32037;3.059626;5.918422;1844.8;1129.6;396.6;629.5;308.1;294.3;159.717;1631.6;60.2;632.1
"Elkem";"Norge";"OB Match";"Industri";"Produktion";"ELK";"Aktier";"Q4-2017";"";"";"";"";"";"";"";"";"";"";"";0.001;"";"";""
"Ellen";"Sverige";"First North";"Hälsovård";"Bioteknik";"ELN";"Aktier";"Q4-2017";0.04530754;"";-4.300932;2.443508;3.357913;15.383;6.06;-8.528;-6.97;-8.746;-5.714;116.373;4.467;5.555;4.467
"Elos";"Sverige";"Small Cap";"Hälsovård";"Sjukvård";"ELOS B";"Aktier";"Q1-2018";-0.1162791;"";20.81735;0.7902615;0.9566748;592.7;163.1;40.3;90.4;22.5;11.7;6.163;461.7;76.1;186.3
"Eltel";"Sverige";"Mid Cap";"Industri";"Tjänster & Leverans";"ELTEL";"Aktier";"Q1-2018";-0.1167939;"";-6.975342;0.2871231;1.286599;12617.58;937;-345.32;-255.495;-519.385;-553.21;156.56;5264.45;63.3;3824.375
"EMAS Offshore";"Norge";"OB Standard";"Energi";"Olja & Gas";"EMAS";"Aktier";"Q2-2017";0;"";-0.1022603;0.0867248;0.5474634;1470.224;-357.5041;-1088.832;-627.6188;-1246.869;594.0114;439.672;8775.036;129.5943;7424.537
"Emotra";"Sverige";"Aktietorget";"Hälsovård";"Läkemedel";"EMOT";"Aktier";"Q1-2018";-0.5602941;"";-2.258308;"";3.291739;"";-9.048;-9.228;-9.228;-9.072;-8.838;13.702;2.216;6.437;2.023
"Empir Group";"Sverige";"Small Cap";"Informationsteknik";"IT-Tjänster";"EMPIR B";"Aktier";"Q1-2018";-0.3952103;0.03129225;14.05877;0.3715566;0.7822614;233.87;171.933;6.387;9.088;6.181;-17.257;3.357;73.758;28.414;61.398
"Enalyzer";"Denmark";"First North";"Informationsteknik";"Programvara & Internet";"ENALYZ";"Aktier";"Q4-2017";-0.1575221;"";15.82973;0.7068662;1.572186;25.589;24.101;1.797;5.821;1.143;1.003;3.8;7.011;0.334;6.128
"Endomines";"Sverige";"Small Cap";"Material";"Gruv & Metall";"ENDO";"Aktier";"Q1-2018";-0.6760417;"";-3.498313;1.566327;0.7107545;123.282;100;-73.719;-12.927;-55.2;-73.923;31.045;237.783;103.601;27.973
"Endomines Oyj";"Finland";"Small Cap";"Material";"Gruv & Metall";"ENDOM";"Aktier";"Q1-2018";-0.7063415;"";-3.226152;1.443775;0.6551438;12.9446;10.5;-7.7404;-1.3573;-5.796;-7.7619;31.045;24.9671;10.8781;2.9371
"Enea";"Sverige";"Small Cap";"Informationsteknik";"IT-Tjänster";"ENEA";"Aktier";"Q2-2018";0.3380282;"";18.28048;2.682517;2.035413;683.5;493;128.7;158.1;100.3;-578.4;19.3;1046.9;220.6;412.6
"Enersense";"Finland";"First North";"Industri";"Bemanning";"ESENSE";"Aktier";"Q4-2017";"";"";"";"";"";"";"";"";"";"";"";0.001;"";"";""
"Enersize";"Sverige";"First North";"Informationsteknik";"IT-Tjänster";"ENERS";"Aktier";"Q4-2017";-0.664151;"";-4.318292;24.55987;4.703274;3.1776;-0.6156;-14.3786;-14.2893;-18.0726;-19.6713;29.229;10.4959;18.0924;7.9737
"Engelska Skolan";"Sverige";"Mid Cap";"Sällanköpsvaror";"Konsument";"ENG";"Aktier";"Q3-2018";0.08368796;0.01492147;22.19704;1.357343;3.313912;2279.6;1996.5;178.4;240.7;139.4;170.1;40.5;403.4;245.2;354.8
"Eniro";"Sverige";"Small Cap";"Sällanköpsvaror";"Media";"ENRO";"Aktier";"Q1-2018";-0.7892763;"";1.942537;0.1739178;0.2471292;1519;1120;-13;166;136;-52;66.2274;2213;33;812
"Enorama Pharma";"Sverige";"First North";"Hälsovård";"Sjukvård";"ERMA";"Aktier";"Q1-2018";10.64706;"";-37.4185;39.10881;87.96551;9.755;-5.389;-9.35;-9.274;-10.196;-14.853;4.817;15.917;1.575;4.917
"EnQuest";"Sverige";"Mid Cap";"Energi";"Olja & Gas";"ENQ";"Aktier";"Q4-2017";0.08683478;"";-9.349398;0.9063751;0.7474456;4963.137;501.6996;-764.8495;-2577.806;-481.1653;-489.7001;1159.398;33835.86;1369.442;7275.262
"Enrad";"Sverige";"Aktietorget";"Industri";"Byggprodukter";"ENRAD";"Aktier";"Q1-2018";"";"";-4.426411;3.572587;2.329182;7.004;2.024;-5.498;-4.632;-5.653;"";5.213;4.019;0.867;1.831
"Envirologic";"Sverige";"Aktietorget";"Industri";"Tjänster & Leverans";"ENVI B";"Aktier";"Q1-2018";2.345324;"";10.69211;2.909757;4.864439;24.361;13.79;5.553;5.896;6.63;"";7.622;2.56;5.41;2.26
"Enzymatica";"Sverige";"First North";"Hälsovård";"Läkemedel";"ENZY";"Aktier";"Q2-2018";-0.1257862;"";-7.435143;3.928507;2.929561;64.316;41.033;-31.55;-31.55;-33.984;-25.802;90.887;29.831;3.249;24.991
"Eolus Vind";"Sverige";"Small Cap";"Kraftförsörjning";"Energiproducenter";"EOLU B";"Aktier";"Q3-2018";0.8536585;0.03947368;18.26923;1.94516;1.436833;486.575;-637.253;51.14;64.176;51.808;-572.728;24.907;945.242;36.789;879.457
"EOS Russia";"Sverige";"First North";"Kraftförsörjning";"Energiproducenter";"EOS";"Aktier";"Q4-2017";0.7096773;"";1.976179;"";0.7918842;"";"";385.911;386.041;385.836;17.175;41.104;5.141;28.231;5.141
"Epic Gas";"Norge";"Merkur Market";"Energi";"Olja & Gas";"EPIC-ME";"Aktier";"Q4-2017";-0.1428571;"";-2.956008;0.6547714;0.3745002;1096.47;484.176;-117.9;112.398;-242.874;-183.924;70.386;2598.516;55.02;592.644
"Epiroc A";"Sverige";"Large Cap";"Industri";"Produktion";"EPI A";"Aktier";"Q1-2018";"";"";27.28491;3.672978;7.364676;32262;11553;6050;7301;4343;8450;1212.376;14375;3378;10079
"Epiroc B";"Sverige";"Large Cap";"Industri";"Produktion";"EPI B";"Aktier";"Q1-2018";"";"";24.2365;3.262615;6.541857;32262;11553;6050;7301;4343;8450;1212.376;14375;3378;10079
"Episurf";"Sverige";"Small Cap";"Hälsovård";"Läkemedel";"EPIS B";"Aktier";"Q1-2018";-0.2731708;"";-2.466887;42.86065;1.893953;3.186;-24.196;-55.911;-51.835;-55.357;-69.738;30.549;9;56.8;8.9
"EQL Pharma";"Sverige";"Aktietorget";"Hälsovård";"Läkemedel";"EQL";"Aktier";"Q1-2018";0.0273224;"";-391.6667;7.35484;4.127391;31.838;17.578;-0.597;0.929;-0.599;-20.374;24.911;10.308;5.791;10.308
"Equinor";"Norge";"OBX";"Energi";"Olja & Gas";"EQNR";"Aktier";"Q1-2018";0.5132048;0.03312311;18.48719;1.357312;2.081467;517929.6;268687.3;114453.5;186102.6;38025.97;64635.16;3316;577565.7;118458.3;153025.2
"Ericsson B";"Sverige";"Large Cap";"Informationsteknik";"Kommunikation";"ERIC B";"Aktier";"Q2-2018";0.420116;0.01362027;-9.277348;1.217901;2.604462;198214;56365;-24701;-481;-26021;13469;3288;171762;66854;104625
"Erria";"Denmark";"First North";"Industri";"Tjänster & Leverans";"ERRIA";"Aktier";"Q4-2017";-0.1352941;"";-208.2153;0.5706069;2223.94;101.335;31.908;1.135;5.182;-0.278;10.73;7.867;26.959;2.885;22.834
"ESEN eSports";"Sverige";"Aktietorget";"Sällanköpsvaror";"Betting & Spel";"ESEN";"Aktier";"Q1-2018";"";"";-3.796896;3.983036;7.745787;4.0226;0.6705;-4.2123;-4.1396;-4.2199;"";3.179;0.2324;0.4749;0.2324
"Esoft Systems";"Denmark";"First North";"Informationsteknik";"Programvara & Internet";"ESOFT";"Aktier";"Q4-2017";0.1022222;"";12.23966;0.6265162;2.794243;138.821;"";7.285;7.285;7.106;15.851;3.507;15.836;21.871;15.836
"Essity B";"Sverige";"Large Cap";"Dagligvaror";"Konsumentprodukter";"ESSITY B";"Aktier";"Q2-2018";-0.0863732;0.02638825;18.05901;1.347307;3.38168;113583;32658;12384;18629;8474;5212;702.3;104991;4041;46415
"Etrion";"Sverige";"Small Cap";"Kraftförsörjning";"Energiproducenter";"ETX";"Aktier";"Q1-2018";-0.01015227;"";3.603104;4.0263;10.23239;161.805;22.3624;-42.5633;34.9439;180.8382;-396.9874;334.09;1910.621;334.9192;132.5456
"Etteplan";"Finland";"Small Cap";"Industri";"Tjänster & Leverans";"ETTE";"Aktier";"Q1-2018";0.01395347;0.02637615;18.15154;0.9845802;3.603595;219.386;51.129;16.072;21.343;11.902;14.588;24.771;81.519;8.968;58.819
"Eurocine Vaccines";"Sverige";"Aktietorget";"Hälsovård";"Läkemedel";"EUCI";"Aktier";"Q3-2018";-0.4758064;"";-3.302286;"";7.524551;"";-33.023;-39.845;-39.845;-39.845;-39.358;67.474;5.333;20.268;5.333
"Eurocon";"Sverige";"Aktietorget";"Industri";"Tjänster & Leverans";"EURO";"Aktier";"Q1-2018";0.04918036;0.0546875;10.28939;1.080042;2.963728;247.854;197.23;28.029;31.328;26.018;5.713;41.827;68.573;20.926;55.288
"Euroinvestor";"Denmark";"Small Cap";"Informationsteknik";"Programvara & Internet";"EI";"Aktier";"Q4-2017";-0.2263158;"";-163.6971;2.58467;0.9843493;63.201;56.154;-0.245;1.519;-0.998;11.034;22.225;42.026;3.328;39.038
"European institute";"Sverige";"Aktietorget";"Hälsovård";"Sjukvård";"EURI B";"Aktier";"Q1-2018";-0.1271821;"";-2.33489;7.89794;2.443511;0.534;-0.417;-1.807;-1.806;-1.807;-1.171;12.05;0.275;1.328;0.275
"Europris";"Norge";"OB Match";"Dagligvaror";"Konsumentprodukter";"EPR";"Aktier";"Q2-2018";-0.4116848;0.07852194;8.93668;0.6533397;2.224418;5532.924;2378.649;566.029;651.244;404.514;414.271;166.969;2705.88;136.363;969.091
"Everysport Media";"Sverige";"Aktietorget";"Informationsteknik";"Kommunikation";"EVERY A";"Aktier";"Q1-2018";-0.225;"";-3.276956;0.7667252;3.766436;91.036;34.621;-22.628;-2.308;-21.308;1.91;112.58;40.846;4.33;40.466
"Evolution Gaming";"Sverige";"Large Cap";"Sällanköpsvaror";"Betting & Spel";"EVO";"Aktier";"Q2-2018";0.4691224;0.01283628;33.979;11.69642;20.48096;2085.054;1247.185;768.7726;929.4292;717.7291;417.9739;35.97;526.1776;386.4952;455.4264
"eWork";"Sverige";"Small Cap";"Industri";"Bemanning";"EWRK";"Aktier";"Q1-2018";-0.08396947;0.05;20.39891;0.1591281;8.984366;9750.633;429.452;101.366;103.11;76.064;68.279;17.24;2703.224;39.393;2703.224
"EVRY";"Norge";"OB Match";"Informationsteknik";"IT-Tjänster";"EVRY";"Aktier";"Q2-2018";0.03986707;0.0399361;22.89183;0.9050396;4.668635;12824;8376;867;1470;466;-365;370.806;8395;144;2864
"Exalt";"Sverige";"Aktietorget";"Telekommunikation";"Telekommunikationstjänster";"EXALT";"Aktier";"Q1-2018";-0.1677019;"";6.921488;0.8040524;1.967193;38.37;27.735;2.445;3.234;4.458;"";46.047;31.768;4.566;19.895
"Exel Composites";"Finland";"Small Cap";"Industri";"Tjänster & Leverans";"EXL1V";"Aktier";"Q4-2017";-0.1370263;0.05067568;16.72316;0.8165352;2.444221;86.255;52.073;6.081;9.306;4.212;-3.653;11.897;35.565;7.629;30.232
"Exeotech Invest";"Sverige";"NGM";"Informationsteknik";"Kommunikation";"ETIN MTF";"Aktier";"Q4-2017";-0.5;"";-0.7017544;0.2341958;0.4484318;33.7;-7.2;-9.6;-7.1;-11.3;-16;986.55;16.4;0.6;14.7
"ExpreS2ion Biotech";"Sverige";"First North";"Hälsovård";"Bioteknik";"EXPRS2";"Aktier";"Q1-2018";0.5185184;"";-6.59217;9.307034;3.605431;8.459;6.142;-13.818;-11.537;-11.943;-6.813;9.601;12.186;17.775;3.724
"Eyeonid";"Sverige";"NGM";"Informationsteknik";"IT-Tjänster";"EOID MTF";"Aktier";"Q1-2018";0.4462809;"";-23.84846;64.61539;9.642344;6.851;-7.086;-18.403;-15.752;-18.567;-37.369;50.592;16.434;22.994;16.434
"F.E. Bording";"Denmark";"Small Cap";"Informationsteknik";"Kommunikation";"BORD B";"Aktier";"Q1-2018";-0.1967621;0.01860465;55.87173;0.341649;1.353108;638.111;325.95;13.801;36.859;3.902;-6.775;0.338;278.747;21.785;226.075
"Facebook";"USA";"NYSE & Nasdaq
";"Informationsteknik";"Programvara & Internet";"FB";"Aktier";"Q1-2018";0.3213843;"";32.88992;13.16554;7.562638;44587;38365;22325;25628;17848;11584;2906;11325;43956;5086
"Fagerhult";"Sverige";"Mid Cap";"Industri";"Byggprodukter";"FAG";"Aktier";"Q1-2018";-0.3270386;0.0255102;18.565;1.727283;4.419365;5196.7;1960.3;663.1;829.4;483.5;178.8;114.492;4285.4;874.6;922.5
"Fastator";"Sverige";"First North";"Industri";"Byggprodukter";"ABFAST";"Aktier";"Q1-2018";-0.01459853;"";9.770219;6.308579;0.6439332;60.004;30.223;51.457;55.665;38.745;-7.7119;14.02;287.896;28.215;23.153
"FastOut Int.";"Sverige";"Aktietorget";"Informationsteknik";"Elektronisk utrustning";"FOUT";"Aktier";"Q1-2018";-0.7068627;"";-2.713249;2.309022;2.356756;7.4849;4.6112;-6.3239;-4.7658;-6.3755;"";57.802;1.0773;2.7023;1.0773
"FastPassCorp";"Denmark";"First North";"Informationsteknik";"Programvara & Internet";"FASTPC";"Aktier";"Q4-2017";0.09629633;0.04504505;43.61065;7.365775;3.223904;4.973;2.984;2.984;2.984;0.84;-0.99;0.825;4.849;0.388;4.849
"Feelgood";"Sverige";"Small Cap";"Hälsovård";"Sjukvård";"FEEL";"Aktier";"Q2-2018";0.09034266;0.02285714;13.40483;0.5237364;1.989934;695.494;463.008;36.767;44.095;27.183;39.135;104.073;140.726;6.029;115.366
"Fenix Outdoor";"Sverige";"Mid Cap";"Sällanköpsvaror";"kläder & Textil";"FOI B";"Aktier";"Q1-2018";0.2526193;0.00929368;22.65821;2.55509;5.722672;5649.327;3214.263;889.569;1015.725;637.056;264.726;13.415;1230.462;720.372;1070.148
"Ferronordic Machines";"Sverige";"Mid Cap";"Industri";"Handel & Distribution";"FNM";"Aktier";"Q1-2018";"";0.01453782;11.4048;0.6574101;2.67424;2630.486;494.995;190.892;215.75;151.63;67.014;14.532;812.338;305.705;790.619
