"Bolagsnamn";"Info";"Info";"Info";"Info";"Info";"Info";"Info";"Kursutveck.";"Direktav.";"P/E";"P/S";"P/B";"Omsättning";"Bruttoresult.";"EBIT";"EBITDA";"Vinst";"FCF";"Antal Aktier";"Tot. Skulder";"Kassa";"Kortf. Skuld."
"";"Land";"Lista";"Sektor";"Bransch";"Ticker";"Instrument";"Rapport";"Utveck.  1 år";"Senaste";"Senaste";"Senaste";"Senaste";"Miljoner";"Miljoner";"Miljoner";"Miljoner";"Miljoner";"Miljoner";"Senaste";"Miljoner";"Miljoner";"Miljoner"
"Addnode";"Sverige";"Mid Cap";"Informationsteknik";"IT-Tjänster";"ANOD B";"Aktier";"Q1-2018";0.2702703;0.02393617;31.25935;1.084988;2.747491;2636.1;1625;137.1;241.1;91.5;-270.4;30.427;1890;384;1735
"Addtech";"Sverige";"Mid Cap";"Industri";"Handel & Distribution";"ADDT B";"Aktier";"Q1-2019";0.1806061;0.02053388;24.50653;1.547988;5.560632;8438;2624;741;884;533;13;67.053;3636;223;2678
"ADDvise Group A";"Sverige";"First North";"Hälsovård";"Sjukvård";"ADDV A";"Aktier";"Q1-2018";-0.5279806;"";-14.73045;0.2981948;1.480825;252.276;107.238;7.399;12.176;-5.11;-50.131;38.777;225.227;22.18;108.878
"Admicom";"Finland";"First North";"Informationsteknik";"IT-Tjänster";"ADMCM";"Aktier";"Q4-2017";"";"";37.27808;9.080301;15.89494;8.103;7.447;2.541;2.954;1.974;"";4.84;1.113;1.882;1.113
"ADONnews";"Sverige";"Aktietorget";"Sällanköpsvaror";"Media";"ADON";"Aktier";"Q1-2018";-0.4915254;"";-1.421801;2.077316;-1.187038;5.876;4.203;-7.366;-5.541;-8.618;-0.429;406.877;18.36;0.371;12.072
"Advanced Stabilized Tech";"Sverige";"NGM";"Informationsteknik";"Kommunikation";"ASTG MTF B";"Aktier";"Q1-2018";-0.7073171;"";-1.818182;2.627771;1.042422;9.6;"";-12.2;-10.7;-13.9;-17.3;700.739;12.7;6.2;12.1
"Advenica";"Sverige";"First North";"Informationsteknik";"Kommunikation";"ADVE";"Aktier";"Q1-2018";-0.3556314;"";-3.841928;2.841431;1.93816;52.452;31.044;-44.916;-37.924;-38.793;-31.935;15.788;25.547;11.456;17.435
"Aerowash";"Sverige";"Aktietorget";"Industri";"Tjänster & Leverans";"AERW B";"Aktier";"Q1-2018";0.08433732;"";-7.712082;1.290636;3.60649;23.249;13.186;-4.346;-3.011;-3.891;"";3.334;11.082;0.831;8.327
"AF Gruppen";"Norge";"OB Match";"Industri";"Byggnation";"AFG";"Aktier";"Q1-2018";-0.1513158;0.06589147;18.94607;0.8466981;6.958683;14925;5344;964;1136;667;843;97.961;5727;879;5099
"Afarak";"Finland";"Small Cap";"Material";"Gruv & Metall";"AFAGR";"Aktier";"Q4-2017";0.2075949;0.02096436;40.08403;1.235203;1.464096;203.157;203.157;11.399;17.97;6.261;1.484;263.04;87.576;10.702;34.506
"Africa Energy";"Sverige";"First North";"Energi";"Olja & Gas";"AEC.ST";"Aktier";"Q4-2017";"";"";"";"";"";"";"";"";"";"";"";0.001;"";"";""
"Africa Oil";"Sverige";"Mid Cap";"Energi";"Olja & Gas";"AOI";"Aktier";"Q1-2018";-0.3778838;"";-103.0303;"";0.4184077;"";"";-76.2623;-75.387;-34.9717;-573.3106;460.339;243.1222;3304.06;241.5788
"Africa Resources";"Sverige";"NGM";"Material";"Gruv & Metall";"AFRI MTF";"Aktier";"Q4-2017";"";"";"";"";"";"";"";"";"";"";"";0.001;"";"";""
"African Petroleum";"Norge";"Oslo Axess";"Energi";"Olja & Gas";"APCL";"Aktier";"Q4-2017";-0.6223022;"";-0.5856434;89.94906;1.837998;1.7784;-75.0984;-273.1482;-273.1248;-273.1482;-148.2;152.348;103.6464;102.8508;103.6464
